3,00:15:07
1,00:15:15
14,00:15:26
37,00:15:28
12,00:16:05
4,00:16:16
19,00:16:21
15,00:16:37
39,00:16:47
28,00:16:49
41,00:16:54
6,00:16:55
32,00:17:03
5,00:17:17
17,00:17:36
38,00:17:38
9,00:17:45
40,00:18:07
2,00:18:08
27,00:18:37
20,00:18:39
34,00:18:43
13,00:18:47
31,00:18:48
21,00:18:51
26,00:19:26
10,00:19:27
30,00:19:36
33,00:19:45
18,00:20:06
29,00:20:17
16,00:20:23
11,00:20:43
25,00:21:05
22,00:21:33
7,00:22:29
24,00:22:31
35,00:22:32
23,00:22:48
36,00:22:55
8,00:26:19
37,00:30:43
1,00:30:51
3,00:31:15
14,00:31:53
15,00:32:40
4,00:32:41
12,00:33:06
6,00:34:06
32,00:34:31
5,00:34:33
9,00:34:40
38,00:34:42
19,00:34:50
39,00:36:24
28,00:36:27
41,00:36:47
34,00:37:06
20,00:37:14
13,00:37:19
10,00:37:50
17,00:38:09
2,00:38:11
33,00:39:35
18,00:39:42
30,00:39:52
27,00:40:30
26,00:41:00
40,00:41:11
29,00:41:14
11,00:41:45
21,00:41:53
36,00:42:22
24,00:42:55
22,00:43:27
31,00:43:52
23,00:44:29
7,00:44:47
1,00:45:24
37,00:45:56
35,00:46:15
25,00:46:27
16,00:46:38
3,00:46:43
14,00:47:23
4,00:48:57
12,00:50:42
38,00:51:30
5,00:51:47
19,00:51:52
15,00:52:01
9,00:52:06
32,00:52:35
6,00:52:57
8,00:54:04
41,00:55:01
28,00:55:25
17,00:55:36
20,00:56:07
2,00:56:08
13,00:56:16
10,00:56:46
39,00:57:19
34,00:57:31
33,00:58:50
18,00:59:43
30,01:00:03
29,01:01:37
27,01:02:06
26,01:02:30
40,01:02:40
21,01:02:46
36,01:03:09
23,01:03:41
7,01:04:16
11,01:04:47
22,01:04:49
25,01:06:36
31,01:06:56
24,01:07:17
16,01:07:58
35,01:13:37
8,01:17:19
